Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude
-73.8841629,40.7477684,-73.88443756,40.75549698
-73.96405792,40.71618271,-73.92819214,40.70211029
-73.95465851,40.7106781,-73.96204376,40.71340942
-73.95752716,40.72964478,-73.96546173,40.70344925
-73.98893738,40.68859482,-73.9504776,40.67695999
-73.91731262,40.76501846,-73.9522934,40.73379135
-73.96228027,40.71097565,-73.96194458,40.7105751
-73.97953796,40.66117477,-73.99385834,40.66784286
-73.96228027,40.71097565,-73.96194458,40.7105751
-73.91624451,40.80866623,-73.91053772,40.81949234
-73.86512756,40.75257874,-73.92373657,40.75310898
-73.960289,40.71527863,-73.94223022,40.66289139
-73.95812225,40.71744537,-73.93366241,40.705616
-73.93110657,40.69456863,-73.93994141,40.67916107
-73.96517944,40.68986893,-73.93933105,40.85368347
-73.9803772,40.67637253,-74.00727081,40.63431931
-73.95133972,40.82497025,-73.94818115,40.82943344
-73.94275665,40.83195114,-73.94270325,40.78614807
-73.98944855,40.7023201,-73.90743256,40.73897171
-73.95277405,40.72314835,-73.95293427,40.7231102
-73.95786285,40.72177887,-73.95726013,40.72800064
-73.94067383,40.78878403,-73.95149994,40.78612518
-73.91815186,40.77019882,-73.93240356,40.76080322
-73.93627167,40.68787384,-73.93301392,40.67844772
-73.90057373,40.8335495,-73.90068817,40.83340454
-73.82434082,40.78173065,-73.83249664,40.70129395
-73.92856598,40.70490646,-73.95309448,40.8241539
-73.94338226,40.82045746,-73.9702301,40.78910065
-73.86643219,40.83699036,-73.85888672,40.86778259
-73.97788239,40.68484116,-73.98961639,40.69633102
-73.95533752,40.73160172,-73.95694733,40.7733078
-73.91073608,40.69969559,-73.87155914,40.74897385
-73.99407196,40.68618393,-73.98968506,40.7016983
-73.95569611,40.71963882,-73.9673233,40.7131958
-73.94173431,40.81288528,-73.94772339,40.81208038
-73.94503021,40.80807114,-73.95378876,40.80651474
-73.94333649,40.70804214,-73.99187469,40.74917603
-73.9272995,40.81880188,-73.9486618,40.81558228
-73.98238373,40.67859268,-73.98394012,40.66389084
-73.94587708,40.75042343,-73.93752289,40.74869537
-73.94866943,40.7951889,-73.98303223,40.76688766
-73.96890259,40.69308472,-73.97099304,40.68961716
-73.95313263,40.80723953,-73.94528961,40.80342865
-73.92424011,40.7072525,-73.96512604,40.71437073
